
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 164, Time: 0.00972748, Systemstep: 0.000190735

Begin Step 165, Time: 0.00991821, Systemstep: 0.000190735

Begin Step 166, Time: 0.0101089, Systemstep: 0.000190735

Begin Step 167, Time: 0.0102997, Systemstep: 0.000190735

Begin Step 168, Time: 0.0104904, Systemstep: 0.000190735

Begin Step 169, Time: 0.0106812, Systemstep: 0.000190735

Begin Step 170, Time: 0.0108719, Systemstep: 0.000190735

Begin Step 171, Time: 0.0110626, Systemstep: 0.000190735

Begin Step 172, Time: 0.0112534, Systemstep: 0.000190735

Begin Step 173, Time: 0.0114441, Systemstep: 0.000190735

Begin Step 174, Time: 0.0116348, Systemstep: 0.000190735

Begin Step 175, Time: 0.0118256, Systemstep: 0.000190735

Begin Step 176, Time: 0.0120163, Systemstep: 0.000190735

Begin Step 177, Time: 0.012207, Systemstep: 0.000190735

Begin Step 178, Time: 0.0123978, Systemstep: 0.000190735

Begin Step 179, Time: 0.0125885, Systemstep: 0.000190735

Begin Step 180, Time: 0.0127792, Systemstep: 0.000190735

Begin Step 181, Time: 0.01297, Systemstep: 0.000190735

Begin Step 182, Time: 0.0131607, Systemstep: 0.000190735

Begin Step 183, Time: 0.0133514, Systemstep: 0.000190735

Begin Step 184, Time: 0.0135422, Systemstep: 0.000190735

Begin Step 185, Time: 0.0137329, Systemstep: 0.000190735

Begin Step 186, Time: 0.0139236, Systemstep: 0.000190735

Begin Step 187, Time: 0.0141144, Systemstep: 0.000190735

Begin Step 188, Time: 0.0143051, Systemstep: 0.000190735

Begin Step 189, Time: 0.0144958, Systemstep: 0.000190735

Begin Step 190, Time: 0.0146866, Systemstep: 0.000190735

Begin Step 191, Time: 0.0148773, Systemstep: 0.000190735

Begin Step 192, Time: 0.0150681, Systemstep: 0.000190735

Begin Step 193, Time: 0.0152588, Systemstep: 0.000190735

Begin Step 194, Time: 0.0156403, Systemstep: 0.00038147

Begin Step 195, Time: 0.0160217, Systemstep: 0.00038147

Begin Step 196, Time: 0.0164032, Systemstep: 0.00038147

Begin Step 197, Time: 0.0167847, Systemstep: 0.00038147

Begin Step 198, Time: 0.0171661, Systemstep: 0.00038147

Begin Step 199, Time: 0.0175476, Systemstep: 0.00038147

Begin Step 200, Time: 0.0179291, Systemstep: 0.00038147

Begin Step 201, Time: 0.0183105, Systemstep: 0.00038147

Begin Step 202, Time: 0.018692, Systemstep: 0.00038147

Begin Step 203, Time: 0.0190735, Systemstep: 0.00038147

Begin Step 204, Time: 0.019455, Systemstep: 0.00038147

Begin Step 205, Time: 0.0198364, Systemstep: 0.00038147

Begin Step 206, Time: 0.0202179, Systemstep: 0.00038147

Begin Step 207, Time: 0.0205994, Systemstep: 0.00038147

Begin Step 208, Time: 0.0207901, Systemstep: 0.000190735

Begin Step 209, Time: 0.0209808, Systemstep: 0.000190735

Begin Step 210, Time: 0.0213623, Systemstep: 0.00038147

Begin Step 211, Time: 0.0217438, Systemstep: 0.00038147

Begin Step 212, Time: 0.0221252, Systemstep: 0.00038147

Begin Step 213, Time: 0.0225067, Systemstep: 0.00038147

Begin Step 214, Time: 0.0228882, Systemstep: 0.00038147

Begin Step 215, Time: 0.0232697, Systemstep: 0.00038147

Begin Step 216, Time: 0.0236511, Systemstep: 0.00038147

Begin Step 217, Time: 0.0238419, Systemstep: 0.000190735

Begin Step 218, Time: 0.0240326, Systemstep: 0.000190735

Begin Step 219, Time: 0.0242233, Systemstep: 0.000190735

Begin Step 220, Time: 0.0244141, Systemstep: 0.000190735

Begin Step 221, Time: 0.0246048, Systemstep: 0.000190735

Begin Step 222, Time: 0.0247955, Systemstep: 0.000190735

Begin Step 223, Time: 0.025177, Systemstep: 0.00038147

Begin Step 224, Time: 0.0255585, Systemstep: 0.00038147

Begin Step 225, Time: 0.0257492, Systemstep: 0.000190735

Begin Step 226, Time: 0.0259399, Systemstep: 0.000190735

Begin Step 227, Time: 0.0261307, Systemstep: 0.000190735

Begin Step 228, Time: 0.0263214, Systemstep: 0.000190735

Begin Step 229, Time: 0.0267029, Systemstep: 0.00038147

Begin Step 230, Time: 0.0270844, Systemstep: 0.00038147

Begin Step 231, Time: 0.0274658, Systemstep: 0.00038147

Begin Step 232, Time: 0.0278473, Systemstep: 0.00038147

Begin Step 233, Time: 0.028038, Systemstep: 0.000190735

Begin Step 234, Time: 0.0282288, Systemstep: 0.000190735

Begin Step 235, Time: 0.0284195, Systemstep: 0.000190735

Begin Step 236, Time: 0.0286102, Systemstep: 0.000190735

Begin Step 237, Time: 0.028801, Systemstep: 0.000190735

Begin Step 238, Time: 0.0289917, Systemstep: 0.000190735

Begin Step 239, Time: 0.0291824, Systemstep: 0.000190735

Begin Step 240, Time: 0.0293732, Systemstep: 0.000190735

Begin Step 241, Time: 0.0295639, Systemstep: 0.000190735

Begin Step 242, Time: 0.0297546, Systemstep: 0.000190735

Begin Step 243, Time: 0.0299454, Systemstep: 0.000190735

Begin Step 244, Time: 0.0301361, Systemstep: 0.000190735

Begin Step 245, Time: 0.0303268, Systemstep: 0.000190735

Begin Step 246, Time: 0.0305176, Systemstep: 0.000190735

Begin Step 247, Time: 0.0307083, Systemstep: 0.000190735

Begin Step 248, Time: 0.030899, Systemstep: 0.000190735

Begin Step 249, Time: 0.0310898, Systemstep: 0.000190735

Begin Step 250, Time: 0.0312805, Systemstep: 0.000190735

Begin Step 251, Time: 0.0314713, Systemstep: 0.000190735

Begin Step 252, Time: 0.031662, Systemstep: 0.000190735

Begin Step 253, Time: 0.0318527, Systemstep: 0.000190735

Begin Step 254, Time: 0.0320435, Systemstep: 0.000190735

